 DATE , SALES , COST_OF_SALES , QUANTITY_SOLD , DAILY_SALES_PRICE_PER_UNIT , DAILY_GROSS_PROFIT_PERCENT , DAILY_GROSS_PROFIT_PER_UNIT_PERCENT , AVG_UNIT_SALES_PRICE , PROMOTION , PRICE_ELASTICITY , PERFORMANCE_PERIOD , AVG_UNIT_PRICE , AVG_QTY_SOLD , AVG_GROSS_PROFIT_PCT , PERFORMANCE_FLAG 
"R41,640.00","R86,782.47","R87,986.32","R2,678.00",R32.41,-R1.39,-R1.39,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,005.00","R112,161.42","R122,170.43","R2,905.00",R38.61,-R8.92,-R8.92,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,370.00","R111,650.24","R121,448.28","R3,179.00",R35.12,-R8.78,-R8.78,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,913.00","R594,438.28","R639,306.57","R18,330.00",R32.43,-R7.55,-R7.55,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,278.00","R402,312.33","R459,285.80","R12,065.00",R33.35,-R14.16,-R14.16,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,644.00","R208,489.09","R201,416.84","R5,632.00",R37.02,R3.39,R3.39,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,944.00","R247,453.10","R242,638.80","R6,730.00",R36.77,R1.95,R1.95,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,309.00","R274,814.78","R287,978.17","R7,459.00",R36.84,-R4.79,-R4.79,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,675.00","R126,954.17","R110,698.74","R2,971.00",R42.73,R12.80,R12.80,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,974.00","R105,100.67","R97,257.39","R2,492.00",R42.18,R7.46,R7.46,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
